"tipo_selecao","sigma_p","encounters_n","n_reps","Metrica","Gen_1","Gen_50","Delta","Delta_pct"
"uniform",0.2,40,8,"Modularity",0.596305890209824,0.620148617118126,0.023842726908302,3.99840539893249
"uniform",0.2,40,8,"Nestedness",0.901647826851526,0.77478893115316,-0.126858895698365,-14.0696724286848
"uniform",0.2,40,8,"varz_males",0.735387518844611,0.0744806010922846,-0.660906917752327,-89.8719247765718
"uniform",0.2,40,8,"zbar_males",5.0390156609897,5.04540725886461,0.00639159787491472,0.126842191112765
"gaussian",0.2,40,8,"Centralization",0.024702343968043,0.0157228394463294,-0.00897950452171353,-36.3508197170689
"gaussian",0.2,40,8,"I_s",0.699307212537653,0.343945163547833,-0.355362048989821,-50.8162997061448
"gaussian",0.2,40,8,"Modularity",0.554724439129513,0.621875174883641,0.0671507357541278,12.1052419935747
"gaussian",0.2,40,8,"Nestedness",1.13762379372237,0.802647805934065,-0.334975987788308,-29.4452339724933
"gaussian",0.2,40,8,"varz_males",0.69220875152845,0.0665247942042324,-0.625683957324217,-90.389489578492
"gaussian",0.2,40,8,"zbar_males",5.00471095202799,4.98151440218041,-0.0231965498475777,-0.463494297071803
"sigmoid",0.2,40,8,"Centralization",0.0255638662856625,0.0171111078370754,-0.00845275844858706,-33.0652584164384
"sigmoid",0.2,40,8,"I_s",0.630590365154744,0.300844118224095,-0.329746246930649,-52.2916722410959
"sigmoid",0.2,40,8,"Modularity",0.561650556623485,0.595749389895215,0.0340988332717301,6.07118302823815
"sigmoid",0.2,40,8,"Nestedness",1.1491070248911,0.893538700742344,-0.255568324148755,-22.2406023645165
"sigmoid",0.2,40,8,"varz_males",0.752865957084679,0.0762836901436717,-0.676582266941007,-89.867560164486
"sigmoid",0.2,40,8,"zbar_males",4.99756577545746,5.78987374432802,0.792307968870561,15.8538777570774
"u-shaped",0.2,40,8,"Centralization",0.0244526879318938,0.0193411525172113,-0.00511153541468256,-20.903777240847
"u-shaped",0.2,40,8,"I_s",0.656566854080796,0.248409656104284,-0.408157197976512,-62.1653675386855
"u-shaped",0.2,40,8,"Modularity",0.572211863476358,0.573329565923076,0.00111770244671749,0.195330177170239
"u-shaped",0.2,40,8,"Nestedness",1.07184359877432,1.05095460142809,-0.0208889973462258,-1.94888483451438
"u-shaped",0.2,40,8,"varz_males",0.6801616563642,0.0784617910084898,-0.601699865355711,-88.4642437170148
"u-shaped",0.2,40,8,"zbar_males",5.01558250504284,4.72235181470782,-0.293230690335021,-5.84639351541314
"uniform",0.5,40,8,"Centralization",0.016293354867492,0.0144408686644439,-0.00185248620304814,-11.369581145895
"uniform",0.5,40,8,"I_s",0.287434977522062,0.313314693338235,0.0258797158161727,9.00367660167116
"uniform",0.5,40,8,"Modularity",0.595471658217904,0.625114164520921,0.0296425063030169,4.97798776716417
"uniform",0.5,40,8,"Nestedness",0.884623034380295,0.779468074070016,-0.105154960310279,-11.8869796764837
"uniform",0.5,40,8,"varz_males",0.703952543015754,0.0780315529357693,-0.625920990079984,-88.9152253642724
"uniform",0.5,40,8,"zbar_males",5.02850450241567,4.95165428955676,-0.0768502128589086,-1.52829161875047
"gaussian",0.5,40,8,"Centralization",0.0226378667433664,0.0142989894035447,-0.0083388773398217,-36.8359679573838
"gaussian",0.5,40,8,"I_s",0.494079143443401,0.338029904300371,-0.15604923914303,-31.5838547758708
