"tipo_selecao","sigma_p","encounters_n","Metrica","Gen_inicial","Gen_final","Delta","Delta_pct"
"u-shaped",0.2,40,"Centralization",0.0593195039585783,0.0386571237986974,-0.0206623801598809,-34.832354927157
"u-shaped",0.2,40,"I_s",0.494779262606373,0.090568276039573,-0.4042109865668,-81.6952158498959
"u-shaped",0.2,40,"Modularity",0.263335800967563,0.258172491666667,-0.00516330930089676,-1.96073199387452
"u-shaped",0.2,40,"Nestedness",1.49848375397886,1.19369624381462,-0.304787510164243,-20.3397273647414
"u-shaped",0.2,40,"varz_males",0.712961753176513,0.0716740905071371,-0.641287662669376,-89.946993623739
"u-shaped",0.2,40,"zbar_males",4.99038868713678,5.46175285446406,0.471364167327275,9.44543996226712
"uniform",0.5,40,"Centralization",0.0285157231994401,0.0232110479989435,-0.00530467520049661,-18.6026325315178
"uniform",0.5,40,"I_s",0.0804948399421629,0.0925507430304717,0.0120559030883088,14.9772371706947
"uniform",0.5,40,"Modularity",0.267622383912956,0.273208724787833,0.00558634087487736,2.08739672414484
"uniform",0.5,40,"Nestedness",1.1870775419653,1.21629989577555,0.0292223538102552,2.46170555647741
"uniform",0.5,40,"varz_males",0.690490448157636,0.0790066031724302,-0.611483844985206,-88.55790063668
"uniform",0.5,40,"zbar_males",4.99227369181561,5.00756494083421,0.0152912490185981,0.306298291371059
"gaussian",0.5,40,"Centralization",0.0443294887643469,0.0246297444081019,-0.0196997443562449,-44.439367349729
"gaussian",0.5,40,"I_s",0.274595765100921,0.102487245698872,-0.172108519402049,-62.6770479649586
"gaussian",0.5,40,"Modularity",0.291435678828402,0.280438829957331,-0.0109968488710713,-3.77333650954461
"gaussian",0.5,40,"Nestedness",1.39774173309328,1.3892149323913,-0.0085268007019812,-0.610041218638506
"gaussian",0.5,40,"varz_males",0.691188254786811,0.0719582513207021,-0.619230003466109,-89.5891964566301
"gaussian",0.5,40,"zbar_males",4.97018822469642,5.00876964581998,0.0385814211235544,0.77625674077788
"sigmoid",0.5,40,"Centralization",0.0584280970372952,0.0309885542819989,-0.0274395427552964,-46.9629239127563
"sigmoid",0.5,40,"I_s",0.397307062721218,0.0862075214275859,-0.311099541293632,-78.3020415400781
"sigmoid",0.5,40,"Modularity",0.266587800017166,0.266323038078361,-0.000264761938804869,-0.099315099486106
"sigmoid",0.5,40,"Nestedness",1.78807922402432,1.20613922882733,-0.581939995196989,-32.5455375454367
"sigmoid",0.5,40,"varz_males",0.70779225972734,0.0744727642066834,-0.633319495520657,-89.4781606914758
"sigmoid",0.5,40,"zbar_males",5.00261976553248,5.868151226762,0.865531461229523,17.3015640163768
"u-shaped",0.5,40,"Centralization",0.0544405585507826,0.0434306842275613,-0.0110098743232213,-20.2236615793558
"u-shaped",0.5,40,"I_s",0.273227963435392,0.091958522859255,-0.181269440576137,-66.343663473157
"u-shaped",0.5,40,"Modularity",0.272087167067538,0.252978871591287,-0.0191082954762505,-7.02285803560424
"u-shaped",0.5,40,"Nestedness",1.40346895573076,1.30735682933507,-0.0961121263956854,-6.8481832820906
"u-shaped",0.5,40,"varz_males",0.710597272869621,0.0744447913861979,-0.636152481483423,-89.5236311440423
"u-shaped",0.5,40,"zbar_males",4.99934695765775,5.09525643990196,0.0959094822442133,1.91844020942183
"uniform",0.8,40,"Centralization",0.0302366953688521,0.0244710002222275,-0.0057656951466246,-19.0685360165518
"uniform",0.8,40,"I_s",0.0828906226838316,0.0928728904814555,0.00998226779762393,12.0426985277926
"uniform",0.8,40,"Modularity",0.265795777638831,0.27431201183754,0.00851623419870962,3.20405172511117
"uniform",0.8,40,"Nestedness",1.21476627546705,1.23168211276621,0.0169158372991607,1.39251785637998
"uniform",0.8,40,"varz_males",0.74459134584886,0.0752595701603275,-0.669331775688532,-89.892500016297
"uniform",0.8,40,"zbar_males",5.01046016134339,4.98486633316584,-0.0255938281775565,-0.510807936864113
"gaussian",0.8,40,"Centralization",0.0339582924150866,0.0211508689054945,-0.0128074235095922,-37.7151576205352
"gaussian",0.8,40,"I_s",0.162399379462495,0.110104819264666,-0.0522945601978293,-32.2012069078789
"gaussian",0.8,40,"Modularity",0.346154460503237,0.306259762421786,-0.0398946980814512,-11.5251145466832
"gaussian",0.8,40,"Nestedness",1.55820800352025,1.67698336795071,0.118775364430467,7.62256156829732
